z_entry,window,Sharpe Ratio,CAGR,Max Drawdown,Win Rate,Trades,Profit Factor,Calmar Ratio
1.8,20,0.3983653483357676,0.039314797641266885,-0.12675747744974075,0.6666666666666666,87,1.4700336795484499,0.3101576209328966
1.8,30,0.672227723992455,0.06664526339197119,-0.1329900143429909,0.7083333333333334,72,2.0292231454708776,0.501129830846459
1.8,40,0.7812892352103866,0.07392059822464048,-0.13884197880026722,0.7068965517241379,58,2.5001589893555054,0.5324081294676722
1.8,50,0.27323164185516163,0.019398777374042053,-0.14695955897332416,0.6136363636363636,44,1.2785329083569887,0.13200078653994385
1.8,60,0.16099330299785455,0.009047271653511268,-0.17100467309459216,0.5757575757575758,33,1.1321845368990897,0.05290657553262723
2.0,20,0.4575313671131037,0.04015173766725022,-0.13361615387698836,0.6833333333333333,60,1.7975870914521592,0.3005006243797086
2.0,30,0.7356984300794464,0.062328700123250425,-0.1319435665341106,0.75,52,2.407147318934262,0.4723890808813096
2.0,40,0.704549378701218,0.044332855985124375,-0.07722342315026016,0.7272727272727273,33,3.199721247213521,0.5740856099950682
2.0,50,0.3086006433621846,0.018505255040060176,-0.08926818518722027,0.6333333333333333,30,1.4700903753536372,0.20729955472097364
2.0,60,-0.22298028879527726,-0.01663838094677106,-0.17100467309459214,0.52,25,0.7455552065816745,-0.09729781441450697
2.2,20,0.26197941358252874,0.015353628699627642,-0.09375078840265202,0.6428571428571429,42,1.4147645716522517,0.1637706622123011
2.2,30,0.33394097880217893,0.020878494100440514,-0.1605711923329801,0.696969696969697,33,1.5489153763401327,0.130026400110079
2.2,40,0.7671288578134953,0.04343605730611766,-0.04959700391452159,0.8,25,4.193115490155482,0.8757798632550049
2.2,50,0.6918521643900635,0.039840084841334944,-0.055364852113307064,0.7083333333333334,24,3.390213833037583,0.7195916420005987
2.2,60,-0.12529734395265385,-0.005940330160964513,-0.08646376724835238,0.5714285714285714,14,0.7797011986016349,-0.06870311518930156
2.5,20,0.39763694209471856,0.01493183684463939,-0.03614085320083063,0.7,20,2.390844931740816,0.41315673323108515
2.5,30,0.17745568474714307,0.007812872887652977,-0.11856651395886689,0.7058823529411765,17,1.4012578259062904,0.06589443028040295
2.5,40,0.23561749277101576,0.008774993279341503,-0.051826102607107606,0.5833333333333334,12,1.6416284127226572,0.16931609436010478
2.5,50,0.6279690912479114,0.03157946707822612,-0.04959700391452159,0.8,15,4.350117101938504,0.6367212651121434
2.5,60,-0.11363114219109853,-0.0032440221105132228,-0.061487351277313716,0.5,8,0.6956551753564271,-0.05275917799552592
