ticker,direction,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,bars_held,exit_reason,regime_score,fold
SOL-USD,LONG,2021-12-11,2021-12-19,167.9166259765625,182.8509063720703,75.21079175510874,1096.8375490090148,0.08684972544168867,8,signal_exit,0.7211599244847253,0
ETH-USD,LONG,2021-12-14,2021-12-22,3782.82275390625,4018.69580078125,4.607842303317361,1050.9176363765796,0.06029135995991337,8,signal_exit,0.7058264258706972,0
BNB-USD,LONG,2021-12-14,2021-12-24,520.6317138671875,549.0022583007812,35.72434891771661,975.3072510953142,0.0524380473456717,10,signal_exit,0.6801163315501845,0
BNB-USD,LONG,2022-01-09,2022-01-13,430.25311279296875,487.0425720214844,36.74698211418357,2053.133394421126,0.12985882468347418,4,signal_exit,0.40137920789213943,0
SOL-USD,LONG,2022-01-06,2022-01-21,155.10592651367188,111.96605682373047,132.97114398448352,-5771.870691163635,-0.2798535339618547,15,stop_loss,0.6156158443822068,0
ETH-USD,LONG,2022-01-09,2022-01-22,3091.6962890625,2405.18115234375,4.854783208326758,-3359.568306305105,-0.22382923465292773,13,stop_loss,0.40116603334915085,0
BNB-USD,LONG,2022-02-22,2022-03-01,356.7254638671875,395.6241149902344,43.81484728725535,1671.3743767322537,0.10693461893819754,7,signal_exit,0.41350987385883975,0
BTC-USD,LONG,2022-08-20,2022-09-04,20872.841796875,19986.712890625,0.9581828959674442,-888.2244880294977,-0.04441122440147489,15,time_stop,0.6225654062702857,2
ETH-USD,LONG,2022-09-19,2022-09-28,1335.270751953125,1337.410888671875,14.744580580522337,-7.8521515133339115,-0.00039882916711538605,9,time_stop,0.5971902666003434,2
SOL-USD,LONG,2022-11-09,2022-11-13,24.159435272216797,13.164528846740723,381.2479659536784,-4206.015395965463,-0.45664272634228453,4,stop_loss,0.5631298442737868,2
XRP-USD,LONG,2022-11-09,2022-11-24,0.40625301003456116,0.3815790116786957,45285.45229382975,-1153.050504877427,-0.0626748103981128,15,signal_exit,0.7193241938016641,2
ETH-USD,LONG,2022-11-10,2022-11-25,1100.107177734375,1203.7994384765625,11.931028685139767,1209.6673614161352,0.09216225125881068,15,signal_exit,0.692625999239239,2
BTC-USD,LONG,2023-06-15,2023-06-18,25121.673828125,26510.45703125,0.7880610170915172,1053.7566340146614,0.05322698962712493,3,signal_exit,0.7034033396718808,4
ETH-USD,LONG,2023-06-11,2023-06-19,1752.527587890625,1737.659423828125,11.41208853897266,-209.5071278885282,-0.01047535639442641,8,time_stop,0.6924762630719244,4
BNB-USD,LONG,2023-08-19,2023-08-24,216.1444854736328,218.64639282226562,92.75760551114682,191.7407741011057,0.009563586439909793,5,time_stop,0.4949765624728565,4
ETH-USD,LONG,2023-08-18,2023-08-25,1682.0384521484375,1652.93505859375,11.935513864837565,-387.1685798621263,-0.019285151908386367,7,time_stop,0.6963550647349412,4
BTC-USD,LONG,2023-08-18,2023-08-25,26636.078125,26047.66796875,0.7572004334337501,-485.43658072642177,-0.02406862974853773,7,end_of_backtest,0.7203306240310219,4
BNB-USD,LONG,2023-10-10,2023-10-17,205.75009155273438,214.81211853027344,97.20530304052836,839.9962014346148,0.04199981007173074,7,signal_exit,0.7287017956995826,5
XRP-USD,LONG,2023-10-13,2023-10-20,0.4830490052700043,0.5200780034065247,41466.702391146566,1493.874076440101,0.07458015798564144,7,signal_exit,0.742081063101425,5
ETH-USD,LONG,2023-10-13,2023-10-21,1539.432861328125,1604.822265625,12.992811282178556,808.739476395848,0.04043381867022164,8,signal_exit,0.7246800027904521,5
XRP-USD,LONG,2024-01-04,2024-01-10,0.5825769901275635,0.5999889969825745,34330.22645748628,557.1603802734188,0.027858019013670934,6,time_stop,0.6961596836383209,6
BTC-USD,LONG,2024-01-23,2024-01-27,39518.71484375,41815.625,0.5089090613288343,1127.5266090301704,0.05606396425506863,4,signal_exit,0.716653914560226,6
XRP-USD,LONG,2024-04-14,2024-04-23,0.4808189868927002,0.5568289756774902,32400.819872430202,2429.165310395191,0.1559263316674113,9,signal_exit,0.6776662848707906,6
BTC-USD,LONG,2024-05-02,2024-05-03,58253.703125,62889.8359375,0.35744973011000764,1613.881697239814,0.07750561820506584,1,end_of_backtest,0.6920694216746424,6
XRP-USD,LONG,2024-06-09,2024-06-16,0.493137001991272,0.4888319969177246,40556.68083968678,-214.42212006431163,-0.010721106003215582,7,time_stop,0.7324589010351545,7
BTC-USD,LONG,2024-06-25,2024-07-07,60266.28125,55849.109375,0.3311489470073639,-1501.1933044936109,-0.07522095559239438,12,time_stop,0.5057313024169756,7
XRP-USD,LONG,2024-07-05,2024-07-13,0.4334479868412018,0.4747200012207031,45482.82331308735,1835.8616936584383,0.09312269895540466,8,signal_exit,0.4008714091253526,7
BNB-USD,LONG,2024-08-06,2024-08-14,464.6269226074219,524.1285400390625,42.523140160192646,2488.1506306815436,0.12593515167099675,8,signal_exit,0.596985713526626,7
ETH-USD,LONG,2024-08-05,2024-08-24,2686.027587890625,2765.4814453125,5.797073888935486,428.9970815638768,0.02755085194295676,19,signal_exit,0.400706490748108,7
XRP-USD,LONG,2024-10-26,2024-10-30,0.5019170045852661,0.5279189944267273,39847.22537250156,995.0710421968536,0.049753552109842676,4,signal_exit,0.5803300000163532,8
SOL-USD,LONG,2024-12-20,2024-12-29,194.2822723388672,195.02244567871094,86.85315700468934,30.47404749948747,0.0018059734303199145,9,signal_exit,0.5467193849050435,8
BNB-USD,LONG,2025-01-27,2025-02-01,666.7637939453125,653.4329223632812,29.995629909143485,-439.46802245058655,-0.021973401122529327,5,time_stop,0.7145683770276277,9
BNB-USD,LONG,2025-02-04,2025-02-09,617.1207885742188,616.64208984375,32.06354318505301,-54.90758674928466,-0.002774921280553762,5,time_stop,0.6332575755516157,9
ETH-USD,LONG,2025-02-03,2025-02-17,2868.07861328125,2743.19970703125,4.600130692122547,-600.2719030626305,-0.045497422548339446,14,time_stop,0.40026745110438605,9
BTC-USD,LONG,2025-02-25,2025-03-03,91437.1171875,94248.421875,0.216335237877028,568.0139430517063,0.028715025464477767,6,signal_exit,0.6548438069697988,9
XRP-USD,LONG,2025-03-11,2025-03-15,2.0181939601898193,2.3564300537109375,6153.346028733128,2054.3651475392426,0.16542585900703835,4,signal_exit,0.6225485428482568,9
XRP-USD,LONG,2025-04-03,2025-04-09,2.024998903274536,2.0517380237579346,10027.43571012828,227.24559414972805,0.011191306582793516,6,time_stop,0.7052980983841062,9
BTC-USD,LONG,2025-04-07,2025-04-10,78221.3359375,82565.9765625,0.25627658817575194,1072.223652355318,0.05348736712759496,3,signal_exit,0.5154602456031873,9
SOL-USD,LONG,2025-04-07,2025-04-12,105.7120132446289,121.53269958496094,107.05389582500864,1669.3386755439994,0.14750869980517303,5,signal_exit,0.40602583758972677,9
BTC-USD,LONG,2025-08-26,2025-09-09,110124.1015625,112077.578125,0.18161328643075622,314.42252118260046,0.015721126059130022,14,signal_exit,0.7177183768407139,10
ETH-USD,LONG,2025-09-26,2025-09-30,3868.69091796875,4217.05517578125,5.169707382698065,1759.140334205932,0.0879570167102966,4,signal_exit,0.6414509466329846,11
XRP-USD,LONG,2025-09-26,2025-09-30,2.742363929748535,2.8826630115509033,7354.557036168424,990.4680177678053,0.04910874643593268,4,signal_exit,0.6972098461057943,11
ETH-USD,LONG,2025-10-11,2025-10-14,3840.96044921875,4245.37255859375,5.324945927608842,2110.4133288728676,0.10318402951735678,3,signal_exit,0.6970575711379168,11
SOL-USD,LONG,2025-10-11,2025-10-14,188.63890075683594,208.36355590820312,92.35948987221032,1785.0921433099415,0.1024584675650563,3,signal_exit,0.7161130874650663,11
XRP-USD,LONG,2025-10-11,2025-10-17,2.3587539196014404,2.294239044189453,4086.7566851951165,-282.6722484854074,-0.029323901828413504,6,time_stop,0.43142184295019576,11
SOL-USD,LONG,2025-11-05,2025-11-25,155.3994598388672,138.89114379882812,83.39806548077155,-1401.3048891170013,-0.10812525771388963,20,time_stop,0.40142989258655964,11
XRP-USD,LONG,2025-11-20,2025-12-04,2.107614040374756,2.2015879154205322,7586.119604524565,680.2069343611917,0.04254321302302473,14,signal_exit,0.4444336035105803,11
SOL-USD,LONG,2025-12-26,2026-01-03,119.94737243652344,132.13339233398438,176.14615722711406,2102.1175188056973,0.09949312677946247,8,signal_exit,0.7062282885421287,11
